track,artist,seeds,spotify_id,genre,acousticness,danceability,energy,liveness,loudness,tempo,valence
Mind If I Cut In?,Hans Zimmer,"['dark', 'mysterious']",5QSClsdiBUxnBsEveq7CIn,soundtrack,0.802,0.422,0.0172,0.109,-30.076,120.05,0.0366
What Keeps Mankind Alive,Tom Waits,"['dark', 'sarcastic', 'dramatic']",1nJlc9js3hhUSJNpBV9SLo,alternative,0.521,0.561,0.284,0.153,-8.246,81.503,0.375
Do Not Go Quietly Unto Your Grave,Morphine,['dark'],0ml8Rzp8E4MRAuUlaALLLi,rock,0.703,0.403,0.248,0.145,-20.336,202.603,0.29
The Beast,Austra,['dark'],2e2DCJ2r7tMC0uWHLgEn95,piano,0.976,0.478,0.502,0.141,-8.648,131.109,0.0362
4st 7lb,Manic Street Preachers,"['dark', 'scary', 'bleak', 'desperate']",6QJkYv3Cgr04n5vCBz2lrF,rock,0.0133,0.363,0.92,0.375,-4.981,146.944,0.21
Room of Angel,Akira Yamaoka,"['dark', 'spooky']",2cjVgSrTNTRPXJENSQFHDi,soundtrack,0.938,0.369,0.491,0.107,-13.817,139.64,0.274
Fake Out,Bear in Heaven,"['dark', 'cold']",0490LczTsMZg4UJvBTc6Wk,indie,0.00176,0.413,0.809,0.136,-4.58,125.023,0.326
Cradlesong,Soap&Skin,['dark'],27WxGfZZLfpNMRAGLWwb2b,piano,0.936,0.378,0.158,0.319,-12.007,81.841,0.23
Slow Motion,Third Eye Blind,['dark'],5B8NzZPIvsodYU0qsZzIJK,alternative,0.779,0.679,0.238,0.118,-12.103,110.985,0.129
Tomorrow We'll See,Sting,['dark'],1WBCxZlc5e3THDKbce7gXJ,rock,0.115,0.625,0.496,0.111,-11.966,97.04,0.508
Lactose and Lecithin,Viktor Vaughn,['dark'],63Iv8NhccFc2qXgIsrDo4Q,hip-hop,0.587,0.606,0.856,0.421,-7.817,96.05,0.327
Black History Month (Josh Homme Remix),Death from Above 1979,['dark'],7GsidfhF3raKgvvEXF7nuD,indie,0.0502,0.521,0.62,0.128,-6.517,113.101,0.295
You Are,Built to Spill,"['dark', 'spooky', 'flowing', 'energetic']",7eFdhhyZwGcxDTLAFGUWCs,indie,7.43E-05,0.291,0.673,0.0856,-5.969,133.532,0.402
Alone,Ben Harper & The Innocent Criminals,"['dark', 'smooth', 'soft']",2DgAcT0ypMpNOzFu0CTqtE,rock,0.652,0.654,0.299,0.0889,-17.564,130.637,0.348
Will There Be Stars,Blonde Redhead,['dark'],0bpaftncAxLJZcp982HSMs,indie,0.0122,0.562,0.679,0.214,-9.185,155.997,0.267
The Lobster Quadrille,Franz Ferdinand,['dark'],10YeQBbfHyKrIkAyLlBRI7,indie,0.869,0.304,0.389,0.15,-11.853,188.265,0.551
Sarah,Bat for Lashes,"['eerie', 'ethereal', 'hypnotic']",0Ux2SeL7EPxc91jVj3tCAw,indie,0.11,0.815,0.62,0.208,-7.762,125.54,0.667
Strange Mercy,St. Vincent,['eerie'],1EQ5Ig934wA7qV2qdl5L2e,alternative,0.214,0.642,0.516,0.112,-9.691,127.018,0.346
Home Again,Beach House,"['eerie', 'dreamy']",4UEJ9jO9Q1Iainvq1Rp9t7,indie,0.431,0.55,0.37,0.139,-9.706,110.179,0.242
Shift,Grizzly Bear,['eerie'],1zzoIEMiqUyn9tN7daa5m3,indie,0.838,0.497,0.301,0.0899,-14.85,79.937,0.304
Pree-Sisters Swallowing a Donkey's Eye,Neutral Milk Hotel,"['eerie', 'dreamy', 'epic']",0gJ5LMoUiDsNi1MQFQtqy7,indie,0.822,0.0721,0.239,0.108,-14.317,178.488,0.0395
Marvelous Things,Eisley,['eerie'],1Lp9laBqG5TSXtYX59iUDJ,indie,0.176,0.159,0.46,0.0661,-4.157,204.168,0.195
Call It a Ritual,Wolf Parade,['eerie'],1nRKULvpYvnrgWEGhiIuck,indie,0.746,0.413,0.533,0.102,-5.691,76.954,0.594
3:14 Every Night,Trent Reznor and Atticus Ross,['eerie'],6mJ5uZ33r2y1TRrax79k5p,soundtrack,0.766,0.169,0.0953,0.111,-26.395,76.553,0.0273
Buried in Water,Dead Man's Bones,"['eerie', 'halloween', 'dramatic', 'atmospheric']",55G023KId7BuXQqk0vLsPs,indie,0.969,0.242,0.35,0.103,-12.621,145.825,0.0964
Young Neil,Blonde Redhead,['eerie'],76xKgT0rnchVlYUyJbtwUl,indie,0.000691,0.199,0.662,0.0866,-11.987,151.756,0.326
Paper Hanger,mewithoutYou,['eerie'],2i6ryQK1G1MujGFHw7D9aT,indie,8.48E-06,0.389,0.857,0.162,-6.497,128.339,0.489
Wind Chimes,The Beach Boys,['eerie'],0wwtqgvhIsuVHm3rUSLEMk,pop,0.839,0.298,0.171,0.0995,-17.718,94.505,0.049
Circus,Tom Waits,"['eerie', 'spooky']",65U9npBxIycl15dQqpHlhB,alternative,0.873,0.289,0.573,0.246,-14.442,60.656,0.354
Amy in the White Coat,Bright Eyes,"['eerie', 'powerful', 'quiet']",738gjDIQk2ghd5w47Plfh0,indie,0.376,0.365,0.275,0.251,-18.189,66.014,0.269
The Wrong Coat For You Mt. Heart Attack,Liars,"['eerie', 'pure']",57Lv2BRucO0APFbsoOf2nR,indie,0.9,0.475,0.252,0.257,-15.574,119.967,0.0405
I Collect Coins,Mercury Rev,['eerie'],0fK9TzUEeSAwydORWIu2Bi,indie,0.994,0.209,0.164,0.117,-19.552,81.36,0.249
5,Interpol,['eerie'],5jUYbXdqWRzph2pm31WB3d,indie,0.00113,0.364,0.982,0.336,-5.634,150.213,0.706
River Song,Dennis Wilson,['eerie'],70Ao5L10SKV701DcOH68Jo,rock,0.0941,0.429,0.558,0.403,-11.079,133.188,0.209
Suspiria,Goblin,"['eerie', 'halloween', 'scary']",0y1rTPYx9e1fFlP3W9KvpW,soundtrack,0.0754,0.164,0.625,0.313,-10.475,178.156,0.426
E. is Stable,Menomena,"['eerie', 'quirky']",6TcTjAVjAVrWsH61HDRLs7,rock,0.531,0.577,0.479,0.0844,-9.475,124.399,0.0977
Gratitude,Björk,"['eerie', 'delicate']",39gkg6EdsSx66uGx7m7kRO,alternative,0.793,0.346,0.228,0.108,-16.176,79.965,0.403
Light Leaves,Why?,['eerie'],7LIDhwNwkeZnyc7SepMhQZ,indie,0.537,0.332,0.557,0.713,-8.213,133.817,0.0958
Bombed,Mark Lanegan,['eerie'],2q98vJFkRvrS1RY7bhlFss,rock,0.816,0.469,0.209,0.107,-15.123,97.537,0.365
And Sleep Al Mar,Au Revoir Simone,"['eerie', 'soft']",5AxnsnbUuH1qik7Oz1fYy2,indie,0.8,0.293,0.281,0.116,-15.727,139.209,0.104
No One Knows I'm Gone,Scarlett Johansson,['eerie'],3QqYrS9OM6JsKZzUaYZmh6,indie,0.705,0.423,0.657,0.0948,-10.907,76.005,0.317
The Intense Humming Of Evil,Manic Street Preachers,"['eerie', 'bitter', 'bleak', 'dramatic', 'theatrical', 'powerful']",67ilSU7Ryy6p6PJRU4jick,alternative,0.000579,0.574,0.835,0.297,-5.902,121.012,0.23
The Monkey's Back,Menomena,['eerie'],2jxW9zWFTVPAhFGHz7AvDe,indie,0.0578,0.22,0.373,0.456,-8.733,147.669,0.0394
Balloon Maker,Midlake,"['eerie', 'uplifting', 'narrative']",70lhN91GAJi8Q1pXdnjg2a,indie,0.344,0.33,0.644,0.171,-7.621,81.927,0.377
Raining Blood,Tori Amos,['eerie'],0CXZjq6V0dFxGN3FrUyALR,alternative,0.864,0.171,0.333,0.11,-13.93,75.122,0.0387
Long Life,Primal Scream,"['eerie', 'hypnotic', 'trippy']",2gna7YskI78pt18sYi0TCp,alternative,0.14,0.231,0.491,0.345,-10.629,119.83,0.099
Obelisk,Timber Timbre,['eerie'],3fiA7YPvp6nHEasevZh9WU,indie,0.117,0.273,0.255,0.357,-10.7,80.798,0.0684
All Hands And The Cook,The Walkmen,['eerie'],0oA0OJqR8Ms7K8mLIWQTZf,indie,0.157,0.328,0.66,0.183,-3.832,104.875,0.238
Shahdaroba,Roy Orbison,"['eerie', 'mysterious']",6QAqKjiz6V7r57fW4doWYz,rock,0.711,0.482,0.451,0.175,-9.285,109.323,0.553
Far from the Crowd,The Coral,['eerie'],346g6FS2w8T9WPH0qBjxFm,indie,0.0992,0.543,0.712,0.173,-7.849,97.205,0.442
Missing Children,Okkervil River,['eerie'],0e9Gg5Zmn0BfxyZov8NdBn,indie,0.899,0.183,0.238,0.11,-11.247,76.68,0.0377
Segue - Algeria Touchshriek,David Bowie,"['eerie', 'nostalgic']",2DeurWf3MBo3lrbSC3apQx,rock,0.549,0.449,0.272,0.0851,-18.424,138.412,0.428
Stranded The Line,Jonny Greenwood,['eerie'],20wqsJKQrhWlKDOzawaLS0,soundtrack,0.886,0.191,0.2,0.153,-14.028,116.601,0.036
New Sneakers,Deerhoof,"['eerie', 'scary', 'autumnal']",33OTCoIaIbxSLAne5iPbtr,indie,0.822,0.3,0.301,0.117,-10.245,79.831,0.0773
Come as You Were,The Bird and the Bee,"['eerie', 'positive']",6ZkW7g8fhpGs4xxGVxCChV,indie,0.267,0.361,0.676,0.639,-8.462,150.876,0.414
All Is Loneliness,Moondog,['eerie'],3FQ0CN0SxlTLpL3e3Pao10,jazz,0.616,0.61,0.592,0.0631,-12.332,93.606,0.965
An Accident,Shearwater,['eerie'],16UWnd9axmVqR3q1j6vzYf,indie,0.959,0.22,0.129,0.111,-15.198,73.606,0.0923
Segue - Baby Grace (A Horrid Cassette),David Bowie,['eerie'],5FbQBGc7k4zAXXuCip4VgG,rock,0.388,0.303,0.321,0.136,-17.292,94.475,0.261
Wishing Stone,Howling Bells,"['eerie', 'lonely']",4PpZvz9ZyKwJ2KySlor5mC,rock,0.00759,0.538,0.837,0.12,-4.401,128.028,0.372
Memphisto,Depeche Mode,['eerie'],1QpwjJmuow6GhUJGw6W74P,piano,0.719,0.562,0.436,0.134,-10.441,109.968,0.04
Witch,Goblin,"['eerie', 'halloween', 'scary', 'spooky']",3YcF7jT0iCmIzihL1kQv4T,soundtrack,0.271,0.331,1,0.337,-9.52,109.469,0.0269
Hit,The Jesus and Mary Chain,['eerie'],6NQRKjDN7Q6aXu6UAlAJ0i,indie,3.84E-06,0.383,0.58,0.515,-6.491,102.063,0.129
Conduct,The Durutti Column,"['eerie', 'meditative']",1xxOjziAmulZHJQu5xw6Zl,chill,0.892,0.58,0.405,0.161,-9.007,115.308,0.424
Streethawk II,Destroyer,"['eerie', 'introspective']",2fYJkHCPnUOX1Hc39Ha1lh,indie,0.552,0.604,0.34,0.184,-13.136,107.804,0.138
Secret Side,Nico,"['eerie', 'gloomy', 'lonely']",0YUYCaWWOH6gi5em6XbmOz,alternative,0.718,0.153,0.083,0.0765,-16.45,135.239,0.222
Talking About Money,Wye Oak,['eerie'],4yeDzGrjCuHZiRMtJ7zx7x,indie,0.11,0.377,0.536,0.428,-7.533,103.953,0.0713
Louisiana 1927,Randy Newman,['eerie'],7qLEaxMiR8WUsCG1uOBsuO,rock,0.317,0.325,0.28,0.159,-11.715,134.056,0.187
Armour,Ane Brun,['eerie'],5dalWYMAHVJQBuIl67Fdrg,pop,0.989,0.466,0.17,0.0972,-10.09,77.828,0.311
Heavy Heart,Dark Dark Dark,['eerie'],6R1HJdnw1kGBndkG0gNiVZ,piano,0.907,0.336,0.408,0.119,-14.476,182.284,0.253
Apocalypse,Wyclef Jean,['eerie'],5y5aFlTMuKQCzhGsGdATap,hip-hop,0.00246,0.675,0.493,0.147,-10.487,90.02,0.385
Nature Trips,Eyedress,['eerie'],4cB2z142VNt8Kw4wte5wco,indie,0.000866,0.575,0.74,0.113,-6.118,194.063,0.223
Fragments,Manic Street Preachers,"['eerie', 'bleak', 'delicate', 'elegant', 'sophisticated', 'bittersweet', 'wistful', 'poignant', 'tender']",0rgDn2tNlyVqdl9ItoMUNd,rock,0.000864,0.537,0.668,0.0818,-5.384,120.075,0.453
Satine's Theme,Craig Armstrong,"['eerie', 'quiet']",2qND1ELYDpHsTwp7qbT7mL,piano,0.982,0.378,0.0183,0.0617,-20.635,72.124,0.026
The Suicidal Clock Chime,Akira Yamaoka,"['eerie', 'halloween', 'scary']",6BI2yo7T2oo0p01mnH1lOF,soundtrack,0.636,0.249,0.0224,0.0988,-22.376,131.903,0.038
Careless Soul,Daniel Johnston,"['eerie', 'halloween']",5mS0Ye2Wf67WQ9eLlrEYuz,indie,0.956,0.522,0.298,0.927,-16.605,86.345,0.685
Someone to Die For,Belly,['eerie'],2jN3rbftfnMojTPTrsylKV,rock,0.879,0.586,0.22,0.0907,-16.526,94.542,0.398
The Black Dog Runs at Night,Angelo Badalamenti,['eerie'],6vTl95b0WogA8B3sqJwaIf,soundtrack,0.86,0.387,0.0566,0.11,-35.758,100.37,0.0946
Waltzinblack,The Stranglers,['eerie'],7lQ2YVKuM7Xw7X2KSbn9lk,rock,0.594,0.671,0.549,0.0915,-9.476,100.145,0.979
Remodeling,Akira Yamaoka,['eerie'],64Yjy4alpDOtrJuzIcS8O5,soundtrack,0.457,0.651,0.821,0.133,-10.057,100.533,0.221
This Modern Love (Dave P. And Adam Sparkle's Making Time Remix),Bloc Party,"['eerie', 'lively']",5rUBeFXHwMl4Nmx3WBFVbm,indie,0.000512,0.621,0.778,0.155,-8.303,160.049,0.721
Willow,JJ72,"['eerie', 'reflective']",6mgPu0oEo8f9ELHCeqt3HN,indie,0.402,0.474,0.303,0.107,-10.467,137.067,0.124
Pontchartrain,Vienna Teng,['eerie'],5ZcPi6qmJj5DgVhrJ8KlRt,piano,0.915,0.258,0.162,0.11,-14.926,110.893,0.034
Doll Head,John Ottman,['eerie'],4JdumLrPSSwII2ujRDKlHs,soundtrack,0.907,0.206,0.247,0.117,-20.798,67.778,0.0391
We Are The Lust,Death in June,['eerie'],35Fc86QyLl1A6ybITpDczZ,rock,0.806,0.205,0.503,0.187,-14.423,63.821,0.185
Crypt,Matt Uelmen,['eerie'],4PhZhXp4jMXJe3zceeBpsG,soundtrack,0.38,0.097,0.745,0.114,-10.606,77.726,0.0398
Happiness Is an Option,Pet Shop Boys,['eerie'],0Oc5wssV5KSJbLWXUavlVM,pop,1.10E-05,0.523,0.666,0.377,-6.218,166.094,0.217
Jill's America,Ennio Morricone,"['eerie', 'stylish', 'nostalgic']",0gazxaX2ej0gI9TUOUwIIu,soundtrack,0.939,0.0722,0.16,0.0828,-13.953,77.759,0.0385
Baby Ray Baby,This Mortal Coil,"['eerie', 'quiet']",4N8JVywgeD6ggCQ0s4h2sD,alternative,0.195,0.352,0.427,0.266,-13.164,96.876,0.594
Is Everything Real?,The Frozen Autumn,['eerie'],75lgYxk3wB4elm0birw3uc,chill,0.0247,0.598,0.723,0.0993,-10.007,139.925,0.809
Unfortunate Few,The Ditty Bops,['eerie'],1hoNrdR7ktn7kmyRGp9fEs,indie,0.852,0.618,0.348,0.103,-11.118,79.02,0.348
Laurie's Theme,John Carpenter,"['eerie', 'halloween']",5uGk3v4dLFzUfPpKdW1vDz,soundtrack,0.961,0.337,0.0337,0.101,-18.213,162.457,0.0569
Hinterland,Shannon Wright,"['eerie', 'bitter', 'powerful']",6DJINovC5hf5pO2l6grgX5,indie,0.986,0.501,0.158,0.109,-10.863,85.403,0.0767
Song Of Alice,Keren Ann,"['eerie', 'halloween', 'spooky']",3A9D00cJsBcjwe35hrFgCp,indie,0.815,0.294,0.24,0.426,-14.791,201.242,0.137
Gnossiennes,Erik Satie,['eerie'],57BcbD4IokYZUYEiTX69gx,piano,0.976,0.542,0.128,0.118,-18.888,128.227,0.211
River Waltz,Alexandre Desplat,['eerie'],3b02g23pwOQjIKSW4SMuQd,soundtrack,0.993,0.473,0.0066,0.0755,-30.363,62.259,0.0376
Slum Creeper,Calla,"['eerie', 'spooky']",5R9KFMRFQlzIkyXAlyGxGW,indie,0.0708,0.567,0.303,0.112,-10.695,139.955,0.169
A. On Bridge,Anja Garbarek,['eerie'],36sMBFZKVuFHogzNYMQO3A,soundtrack,0.184,0.192,0.352,0.0991,-23.142,61.459,0.0297
Dropjes,Brad Mehldau,['eerie'],2EDx7XE5EnmDHPTFv2fplq,jazz,0.537,0.602,0.652,0.466,-12.873,130.629,0.746
Kitty Bath,John Ottman,"['eerie', 'scary']",0EBCBL1zdDUyIf0PdAgTXM,soundtrack,0.57,0.246,0.241,0.482,-17.546,134.616,0.039
Strip Tease,Alain Goraguer,['eerie'],7afiXet4Zk4P9Nd6TukGU0,soundtrack,0.904,0.409,0.294,0.132,-14.949,120.482,0.318
Kryptonite Smokes the Red Line,Isotope 217,['eerie'],61iA7GlyQsOehYmbeZNGgx,jazz,0.642,0.503,0.359,0.155,-12.813,97.421,0.0744
God Knows,The Sleepy Jackson,['eerie'],3PR79ASfCWh20eAvN6XbF4,indie,0.181,0.469,0.841,0.292,-5.556,129.938,0.582
The Map Room: Dawn,John Williams,['eerie'],6PaSPjWbgzttf85Ao3vyVC,soundtrack,0.879,0.178,0.168,0.746,-14.774,65.65,0.0366
Praying Ground,Mark Lanegan,['eerie'],79XSbeVh0yNaJBuuWoJUWc,rock,0.953,0.275,0.182,0.122,-16.651,81.293,0.197
The Storm,Philip Glass,"['eerie', 'halloween']",70Zb6ESztZZfx73UlWL2Ww,soundtrack,0.952,0.314,0.0966,0.352,-21.933,174.861,0.96
Officer Jimbo,James Newton Howard,"['eerie', 'mysterious']",7eARBm7sOh3d0JT6U8fkaA,soundtrack,0.966,0.0929,0.0556,0.101,-28.346,70.588,0.0245
On The Outside,Sheryl Crow,['eerie'],7AuPvUdTCnrwVa4anqNzo9,soundtrack,0.717,0.43,0.132,0.0967,-15.725,94.6,0.0611
Down In This Hole,The Builders and the Butchers,"['eerie', 'halloween']",0nd9XGH9BFYLkCqDdTfcSb,indie,0.182,0.71,0.683,0.106,-6.919,127.074,0.222
Women in White,Philip Glass,"['eerie', 'scary']",5GHLrppEtYIvnpySNph0FZ,soundtrack,0.97,0.344,0.00853,0.0654,-34.08,113.578,0.0688
Blue Night,Mike Oldfield,"['eerie', 'positive']",4Yj6zYRaoMXcZ26Y3Tz9OL,pop,0.262,0.698,0.635,0.0928,-9.776,123.801,0.891
Without A Name,Clan of Xymox,['eerie'],3e2LrHZ9bdTHYc6AloTcAK,alternative,0.615,0.421,0.285,0.0611,-11.089,117.922,0.0893
None Shall Sleep,Pepper Rabbit,['eerie'],5TolGa8GWNaZn2nGQ3IYDn,indie,0.141,0.415,0.687,0.288,-8.197,131.936,0.0591
Episcopal Hymn,John Fahey,"['eerie', 'stately']",1ECkhDfGmcXhbPDle7sGpt,blues,0.976,0.765,0.142,0.122,-16.16,76.909,0.343
Another John Doe,thenewno2,"['eerie', 'scary']",2slut3jjNcBPwyjCF15XoD,indie,0.917,0.485,0.285,0.0981,-16.063,120.004,0.2
The Well of the Souls,John Williams,['eerie'],25g6bnK8LGwPU2WcUwWfwM,soundtrack,0.845,0.184,0.12,0.14,-20.99,120.617,0.0379
Over & Over,Gemma Hayes,['eerie'],4XnsZsmNK7ozUZFyrf92w5,indie,0.566,0.783,0.366,0.121,-5.739,117.028,0.156
Walk of Shame,Thee More Shallows,['eerie'],2TnUHZ6gAkDYeHdCrqbj35,indie,0.134,0.641,0.526,0.112,-8.519,116.053,0.569
Dusk Is Like a Dagger,The Frozen Autumn,['eerie'],2C2I8BaQCrWwtTjDzIXuWo,chill,7.24E-06,0.48,0.881,0.114,-7.126,127.92,0.468
Green Manalishi,Fleetwood Mac,"['eerie', 'scary']",5dPwxUZTCFCI1okot98SEt,rock,0.073,0.515,0.594,0.123,-11.435,102.767,0.379
Dreams of Leaving,Akira Yamaoka,['eerie'],4xfMcbFOvIOOnJJweaHblJ,soundtrack,0.088,0.441,0.907,0.104,-8.604,139.981,0.45
Slow Sad Love Song,The Verlaines,['eerie'],6Qz7Ft6lPfq1VVfi8BVGti,indie,0.0437,0.236,0.609,0.136,-12.784,128.59,0.34
Talk Me Down,Westlife,"['eerie', 'dramatic', 'plaintive', 'reflective', 'sentimental', 'poignant']",5x03a8mreDMOVHDq30dDp0,pop,0.496,0.345,0.346,0.117,-8.168,149.713,0.155
A Prison in the Desert,Anita Lane,['eerie'],6mz9VCOCkqKmVkCM77X8LX,rock,0.927,0.266,0.474,0.331,-12.919,123.226,0.0447
Weird Nightmare,Charles Mingus,['eerie'],4FcPLa4nWnG0jwxcqu1Yc2,jazz,0.973,0.404,0.151,0.354,-13.074,88.933,0.281
Nei giardini che nessuno sa,Laura Pausini,['eerie'],4P9t9SXaLTZgljgLlV8xhC,pop,0.116,0.531,0.731,0.0699,-4.471,142.021,0.198
Intimacy,Kiki,['eerie'],00wLeG8ot8pzHWFpGNSVPB,electro,0.157,0.61,0.364,0.135,-8.193,122.308,0.57
Xyz,The Tiger Lillies,['eerie'],4UAT40e4mgpoKEVQRJldy4,alternative,0.0811,0.327,0.267,0.257,-10.351,121.259,0.157
Juba Lee Brown,His Name Is Alive,['eerie'],6MNH0U6YMI6Kz55W9YLahB,jazz,0.751,0.212,0.342,0.145,-13.39,105.339,0.112
Under Wraps,Barry Adamson,['eerie'],39CE7G1mQIdabpqMyTdZAn,jazz,0.0516,0.519,0.933,0.704,-11.874,82.871,0.611
Drawn to the Rhythm (Live),Sarah McLachlan,['eerie'],3HhGYpd7cM4N5j4KNS8DJv,pop,0.429,0.438,0.624,0.692,-6.708,93.492,0.326
In Una Stanza Quasi Rosa,Laura Pausini,['eerie'],6hFOJMfJEKRfvENwWRtEIo,pop,0.134,0.516,0.511,0.124,-7.244,147.825,0.177
The Garden of Earthly Delights,Josephine Foster,['eerie'],3see3iQViBOcIEGBH0oKwH,country,0.947,0.353,0.0133,0.0979,-26.733,121.694,0.123
You & John Are Birds,Piano Magic,['eerie'],6of3XSObRrnNs6cKDjKMQi,indie,0.569,0.443,0.276,0.263,-14.709,103.405,0.0951
On The Wrong Side Of Relaxation,Barry Adamson,['eerie'],073La0OvoYdMTSxaPvTuGt,jazz,0.0532,0.201,0.348,0.436,-19.576,76.987,0.0634
Atrus' Theme,Robyn Miller,['eerie'],0wRS7JP8CXu7kpmL32XB4A,soundtrack,0.847,0.419,0.194,0.105,-22.406,139.877,0.0399
Travelling Light,Bright Moments,['eerie'],4a397ayuleFfsmrF3NqWMT,chill,0.0943,0.586,0.639,0.123,-7.99,138.977,0.453
Central Control,Barry Adamson,['eerie'],6cFmuvsFeaXisCULEV8i5t,soundtrack,0.878,0.296,0.372,0.151,-15.581,179.624,0.0539
Werewolves,Alexandre Desplat,['eerie'],3oWXiSKtBGOoWUYrBA0pi8,soundtrack,0.628,0.211,0.057,0.11,-29.021,83.837,0.0395
Sunday Song,Tara Jane O'Neil,['eerie'],5VLBYlzyPvPunAJJdGB2Zn,indie,0.889,0.601,0.204,0.111,-13.335,124.651,0.0737
Birth of a Penguin II,Danny Elfman,['eerie'],1R9xzwkirC3WRcLngXKPgS,soundtrack,0.394,0.189,0.281,0.111,-17.579,134.417,0.0651
Headless Horseman,Kay Starr,"['eerie', 'spooky']",1qbeh53ohJifq7uAsfOHdX,jazz,0.982,0.762,0.195,0.126,-13.14,75.617,0.465
Hellraiser,Christopher Young,['eerie'],1Vya0Wd5w4HGeEvCipqg74,soundtrack,0.885,0.204,0.12,0.0965,-18.706,88.786,0.0384
Laurie Knows,John Carpenter,['eerie'],65xc1tqafxHtJL1WdASchn,soundtrack,0.926,0.391,0.234,0.183,-15.947,81.206,0.0477
Bucket of Blood,Pino Donaggio,['eerie'],2tiHsnCWksPnuHAuRGSuxp,soundtrack,0.929,0.335,0.0827,0.102,-13.852,146.387,0.0877
Despair,Ennio Morricone,"['eerie', 'scary', 'spooky']",7uIMKsRsRt00TXMDHsVLwa,soundtrack,0.906,0.0649,0.106,0.129,-22.144,70.49,0.0277
The Swinging Detective,Barry Adamson,['eerie'],7ho3OT46bxLupMemgPvQJC,pop,0.0722,0.142,0.44,0.535,-11.178,85.688,0.083
Antonio Bay,John Carpenter,"['eerie', 'scary', 'spooky', 'serious']",4g5OdGWb8fBIkyY23JQy5H,soundtrack,0.945,0.201,0.00223,0.0888,-31.444,130.344,0.0339
Sounds From The Big House,Barry Adamson,['eerie'],4IzbR85h3SzuZJd7DTyGcU,jazz,0.00503,0.468,0.561,0.0819,-11.388,142.993,0.207
Monster (Semothy Jones Remix),Meg Myers,['eerie'],5dgEPa7m9DhjKVs4F8LkPb,chill,0.136,0.56,0.577,0.284,-8.953,102.975,0.235
Tightrope Walk,The Damned,['eerie'],4Uboc05bByqq5T4dMaLMlp,rock,0.709,0.408,0.354,0.0935,-20.223,133.035,0.136
Good Day,Kunek,['eerie'],7drPsknwl6a1YNDW86dp2R,soundtrack,0.623,0.585,0.351,0.129,-11.204,124.996,0.0685
Intensive Care,Barry Adamson,['eerie'],1IJpfD9SMIU2LpObW9APaz,pop,0.916,0.0773,0.611,0.362,-18.738,82.468,0.0326
Lost In Fog,Thomas Newman,['eerie'],5PlU1pu3XnbBjJFsoLo2PD,soundtrack,0.859,0.17,0.0202,0.125,-33.008,127.098,0.0391
Shipyards Of New Zealand,Midnight Oil,['eerie'],4ksw1f5UtlEOXuVsqiiPTR,pop,0.739,0.327,0.155,0.121,-18.771,123.327,0.0991
Last Kind Words,Geeshie Wiley,['eerie'],1o9D6eNx48cZyu5hlDnjNj,blues,0.952,0.384,0.295,0.218,-12.795,142.004,0.316
Wandering Arms,Scissors for Lefty,['eerie'],4mL1MLyewP6sogzzz16pZX,indie,0.325,0.673,0.577,0.12,-9.062,78.511,0.689
Television,Hans Zimmer,['eerie'],7nmTyqzcDCmKu75ySgxYuf,soundtrack,0.000262,0.344,0.445,0.187,-12.871,183.837,0.055
Savory,Jawbox,"['fractured', 'cathartic']",2ETGuTChPhwWge4syLqu9N,rock,0.0457,0.287,0.914,0.376,-6.056,95.02,0.173
Fever Sleeves,Q and Not U,['fractured'],26GstlIVIN5ZmRt8jZO6QR,indie,1.76E-05,0.374,0.885,0.108,-8.711,131.92,0.608
Rocket Number Nine,Sun Ra,"['fractured', 'spacey']",3OFEpHWt95QR9bIa0rAq4P,jazz,0.666,0.376,0.566,0.1,-12.769,154.662,0.595
Pure Intentions,The Mountain Goats,['fractured'],2tuMWWBERNGiuSyLVtk49Y,indie,0.646,0.648,0.934,0.389,-15.557,196.566,0.424
If I Should Die,Anita Lane,"['fractured', 'sentimental']",4myfRFX7ZF0AFpbdNV3kyG,rock,0.798,0.368,0.132,0.122,-18.826,109.085,0.14
Cold Eyes,Fractured,"['fractured', 'gritty']",5PMNdAVZ24At2wiYhX4Xzu,electro,0.000222,0.547,0.921,0.0712,-6.697,140.011,0.497
Perverted Desire,Seelenkrank,['fractured'],1OhoHWtTRuvcrFwNXGT7m3,electro,0.0551,0.841,0.998,0.0847,-4.403,109.837,0.171
Father,Aphex Twin,['gloomy'],0mjBKvFwLHw0h1ACwkB8lP,piano,0.99,0.54,0.0321,0.0851,-20.07,123.545,0.203
The Secret Life of Arabia,David Bowie,['gloomy'],4F1V29ygbAKbKCQDgt4z9f,rock,0.00994,0.553,0.877,0.111,-7.752,104.752,0.912
Kill You,Korn,['gloomy'],3b0meCmg4rf2jSpMSxdc1I,alternative,0.0192,0.42,0.0376,0.0838,-8.228,120.925,0.881
Harold Weathervein,Cursive,"['gloomy', 'halloween']",4T1VoWarwSo5BVcN2W22M4,indie,0.207,0.356,0.468,0.623,-11.011,129.902,0.292
A Day by Atmosphere Supreme,Nujabes,"['gloomy', 'atmospheric']",07JIJUJdAP9LiyYS5rS8cR,hip-hop,0.55,0.776,0.407,0.118,-8.135,97.985,0.715
Outside,David Bowie,"['gloomy', 'atmospheric']",21ySgYiVauvDGUJVKiJA6T,rock,0.000635,0.576,0.664,0.874,-9.765,106.431,0.261
